Country,Rice
Gabon,160293682.0
Dominican Republic,153659284.5
Bosnia and Herzegovina,147557122.0
Djibouti,147409547.6
Tajikistan,147127453.26
Panama,145721427.33
Slovenia,145515578.0
Morocco,139510287.0
East Timor,137658338.2
Philippines,127637477.0
Taiwan,125891041.90799999
Middle Africa (FAO),120373346.5
Comoros,106784191.64
Uzbekistan,93617627.336
Iraq,92786641.0
Caribbean (FAO),80323274.8
Nicaragua,72338018.2
Ghana,71995558.0
Israel,70768817.5
Uganda,70736222.12
Malawi,70313226.6
Botswana,68278561.0
Italy,63148010.0
Oman,62353375.0
New Zealand,59760266.1
Burkina Faso,59047124.18
Brazil,57609288.02
Rwanda,52263828.78
Europe,50592942.0
Bolivia,50469866.8
Mauritania,50453946.67
Croatia,47787532.4
Grenada,45774133.0
Cote d'Ivoire,44598335.1
Eastern Africa (FAO),42112995.7
Pakistan,41746752.0
Jamaica,39877894.5
Mali,38287934.647
Antigua and Barbuda,38286511.0
Chad,35673163.8
Senegal,34326104.0
Burundi,33328493.85
Greece,33225098.0
Sudan,32638593.8
Chile,32451028.0
South Sudan,32101321.4
New Caledonia,30964649.6
Land Locked Developing Countries (FAO),29364559.42
China (FAO),28355209.8
Afghanistan,24579876.62
Somalia,24492921.0
Namibia,22683609.6
Romania,19977414.1
European Union (27),19925424.56
Kenya,19329198.45
United Arab Emirates,18945203.22
Colombia,18572593.38
United Kingdom,17639867.54
China,15524678.85
Poland,14305098.2
Peru,13712327.0
Micronesia (country),13662774.0
Denmark,13480312.82
Melanesia,12791674.0
Barbados,12534077.03
Low Income Food Deficit Countries (FAO),12110153.16
Paraguay,11640865.06
South Korea,11290093.03
Europe (FAO),11120976.0
Kyrgyzstan,10337047.94
Serbia and Montenegro,10194028.0
Ethiopia (former),10102501.27
Bulgaria,9799309.31
El Salvador,8985767.0
Russia,8251153.0
Low-income countries,8101642.38
Eritrea,7886811.5
Cambodia,7835287.38
Serbia,7406938.0
Eswatini,7395677.83
Central Asia (FAO),6381899.59
Bhutan,6324770.25
Saint Lucia,6143575.2
Sweden,5665749.0
Bangladesh,5113509.76
Netherlands,4711467.0
Japan,4083248.0
Kazakhstan,3778068.04
Eastern Asia (FAO),3766582.51
Central America (FAO),3503490.23
Guinea-Bissau,3220963.0
Laos,3013562.3
Nepal,2943963.89
Qatar,2904001.0
Bahamas,2866529.98
Benin,2262222.0
Eastern Europe (FAO),2172422.4
Mozambique,2009783.0
Myanmar,1940145.45
Micronesia (FAO),1925469.0
Egypt,1882059.78
France,1589043.29
Czechia,1516385.0
Belize,1454863.26
Papua New Guinea,1284611.0
Ukraine,1066738.8
Lithuania,993727.0
Jordan,988302.37
Ethiopia,957054.12
Angola,945566.0
South America (FAO),910811.49
Central African Republic,861953.13
Czechoslovakia,819065.24
Malta,780366.0
Estonia,406065.0
Reunion,396265.2
Azerbaijan,362003.79
Albania,349860.0
Niger,316830.73
Ireland,299831.0
Kuwait,276821.98
Latvia,265000.0
Nigeria,246662.45
Democratic Republic of Congo,180664.14
Mexico,168954.72
French Guiana,122647.06
Ecuador,111670.55
Algeria,104886.32
Finland,91209.0
Net Food Importing Developing Countries (FAO),32698.0
Guadeloupe,2172.0
